Gene	CUI	Source Databases	
FGA	C0751956	neuropathy	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0751956	neuropathy	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0751956	neuropathy	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0751956	neuropathy	pfxg_input_phengene_evalall_4SEs1	
VWF	C0751956	neuropathy	pfxg_input_phengene_evalall_4SEs1	
FGA	C0149871	macrothrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0149871	macrothrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0149871	macrothrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
PLG	C0149871	macrothrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0149871	macrothrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
VWF	C0149871	macrothrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
CSK	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
FGA	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
PLG	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
PTK2	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
RAP1A	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
RAP1B	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
SRC	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
VWF	C0020538	prehypertension	pfxg_input_phengene_evalall_4SEs1	
FGA	C0087086	tonic seizures	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0087086	tonic seizures	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0087086	tonic seizures	pfxg_input_phengene_evalall_4SEs1	
VWF	C0087086	tonic seizures	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0155626	pneumocystis jiroveci pneumonia	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0155626	pneumocystis jiroveci pneumonia	pfxg_input_phengene_evalall_4SEs1	
PLG	C0155626	pneumocystis jiroveci pneumonia	pfxg_input_phengene_evalall_4SEs1	
PTK2	C0155626	pneumocystis jiroveci pneumonia	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0155626	pneumocystis jiroveci pneumonia	pfxg_input_phengene_evalall_4SEs1	
VWF	C0155626	pneumocystis jiroveci pneumonia	pfxg_input_phengene_evalall_4SEs1	
FGA	C0040053	sepsis	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0040053	sepsis	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0040053	sepsis	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0040053	sepsis	pfxg_input_phengene_evalall_4SEs1	
VWF	C0040053	sepsis	pfxg_input_phengene_evalall_4SEs1	
FGA	cui_knockout_hypertension	phen_knockout_hypertension	pfxg_input_phengene_evalall_4SEs1	
PLAT	cui_knockout_hypertension	phen_knockout_hypertension	pfxg_input_phengene_evalall_4SEs1	
PLG	cui_knockout_hypertension	phen_knockout_hypertension	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	cui_knockout_hypertension	phen_knockout_hypertension	pfxg_input_phengene_evalall_4SEs1	
FGA	cui_sig_tp_noFP_Dis_hypertension	phen_sig_tp_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
