rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
2	neuropathy	C0751956	5	90	2.97621927103e-11	2.631578947368421e-05	FGA,ITGB3,PLAT,SERPINE1,VWF
3	macrothrombocytopenia	C0149871	6	109	4.88149520805e-11	3.9473684210526316e-05	FGA,ITGB3,PLAT,PLG,SERPINE1,VWF
4	prehypertension	C0020538	10	1309	7.59814433593e-11	5.263157894736842e-05	CSK,FGA,PLAT,PLG,PTK2,RAP1A,RAP1B,SERPINE1,SRC,VWF
5	tonic seizures	C0087086	4	45	7.71895880547e-11	6.578947368421052e-05	FGA,PLAT,SERPINE1,VWF
6	pneumocystis jiroveci pneumonia	C0155626	6	246	1.45541023677e-10	7.894736842105263e-05	ITGB3,PLAT,PLG,PTK2,SERPINE1,VWF
7	sepsis	C0040053	5	118	1.68285829716e-10	9.210526315789474e-05	FGA,ITGB3,PLAT,SERPINE1,VWF
8	phen_knockout_hypertension	cui_knockout_hypertension	4	92	3.27589777527e-09	0.00010526315789473683	FGA,PLAT,PLG,SERPINE1
9	phen_sig_tp_noFP_Dis_hypertension	cui_sig_tp_noFP_Dis_hypertension	4	92	3.27589777527e-09	0.00011842105263157894	FGA,PLAT,PLG,SERPINE1
10	phen_sig_knockout_noFP_Sig_thrombocytopenia	cui_sig_knockout_noFP_Sig_thrombocytopenia	3	31	4.14771350599e-09	0.00013157894736842105	ITGB3,PLG,VWF
11	phen_sig_noise_noFP_Dis_myocardial infarction	cui_sig_noise_noFP_Dis_myocardial infarction	3	34	6.10103922938e-09	0.00014473684210526317	ITGB3,PLAUR,SERPINE1
12	phen_sig_noise_noFP_Sig_myocardial infarction	cui_sig_noise_noFP_Sig_myocardial infarction	3	34	6.10103922938e-09	0.00015789473684210527	ITGB3,PLAUR,SERPINE1
13	phen_tp_hypertension	cui_tp_hypertension	4	108	7.26735394085e-09	0.00017105263157894739	FGA,PLAT,PLG,SERPINE1
14	acute myocardial infarction	C0019080	3	36	7.74129982339e-09	0.00018421052631578948	ITGB3,PLAT,VWF
15	phen_sig_tp_noFP_Sig_thrombocytopenia	cui_sig_tp_noFP_Sig_thrombocytopenia	3	36	7.74129982339e-09	0.00019736842105263157	ITGB3,PLG,VWF
16	essential hypertension	C0040034	5	340	5.74229988004e-08	0.00021052631578947367	FGA,ITGB3,PLG,SRC,VWF
17	phen_sig_knockout_noFP_Dis_hypertension	cui_sig_knockout_noFP_Dis_hypertension	3	78	1.84090959698e-07	0.0002236842105263158	FGA,PLG,SERPINE1
18	streptococcal pneumonia	C0038454	6	767	3.15320341948e-07	0.00023684210526315788	FGA,ITGB3,PLAT,PLG,SERPINE1,VWF
19	edema	C0036690	5	467	3.7222523086e-07	0.00025	PLAT,PLAUR,PLG,SERPINE1,VWF
20	embolic infarction, middle cerebral artery	C0007786	4	263	6.15913786195e-07	0.0002631578947368421	FGA,PLAT,SERPINE1,SRC
21	seizures	C1959583	3	107	6.58059976733e-07	0.00027631578947368425	PLAT,SERPINE1,VWF
22	sleep disorders	C2751260	2	28	7.88429708853e-07	0.00028947368421052634	ITGB3,VWF
23	old myocardial infarction	C0235974	8	1868	8.15670702869e-07	0.00030263157894736844	PLAT,PLAUR,PLG,PTK2,RAP1A,RAP1B,SERPINE1,SRC
24	acute pancreatitis	C0007785	4	282	8.68756442229e-07	0.00031578947368421053	PLAT,PLG,SERPINE1,VWF
25	peptic ulcer	C0243026	5	550	9.67646476058e-07	0.0003289473684210527	PLAT,PLAUR,PLG,SERPINE1,VWF
26	phen_sig_noise_noFP_Dis_hypertension	cui_sig_noise_noFP_Dis_hypertension	2	32	1.19169812307e-06	0.00034210526315789477	RAP1A,RAP1B
27	phen_sig_noise_noFP_Sig_hypertension	cui_sig_noise_noFP_Sig_hypertension	2	32	1.19169812307e-06	0.00035526315789473687	RAP1A,RAP1B
28	peripheral neuropathy	C0740391	3	134	1.61943955534e-06	0.00036842105263157896	PLAT,SERPINE1,VWF
29	pancreatitis	C0155862	2	38	2.02179717201e-06	0.00038157894736842105	PLG,SERPINE1
30	skin hemorrhages	C0020542	3	151	2.60650695738e-06	0.00039473684210526315	FGA,SERPINE1,VWF
31	phen_sig_knockout_noFP_Sig_pancreatitis	cui_sig_knockout_noFP_Sig_pancreatitis	2	54	5.90575138615e-06	0.00040789473684210524	RAP1A,RAP1B
32	sciatic neuropathy	C0027051	7	1778	7.3349550388e-06	0.00042105263157894734	FGA,ITGB3,PLAT,PLAUR,PLG,SERPINE1,VWF
33	phen_sig_tp_noFP_Sig_myocardial infarction	cui_sig_tp_noFP_Sig_myocardial infarction	2	59	7.72447277031e-06	0.0004342105263157895	PTK2,VWF
34	phen_sig_tp_noFP_Sig_pancreatitis	cui_sig_tp_noFP_Sig_pancreatitis	2	63	9.42018478001e-06	0.0004473684210526316	RAP1A,RAP1B
35	pleuropneumonia	C2937358	2	66	1.08417151099e-05	0.0004605263157894737	ITGB3,PLAT
36	seizures, clonic	C0032285	4	498	1.39171334526e-05	0.00047368421052631577	PLAT,PLG,RAP1B,SERPINE1
