node1	node2	edge_score	
Alteplase	PLAUR	1.0	
Alteplase	SERPINE1	1.0	
Alteplase	PLG	1.0	
Alteplase	FGA	1.0	
PLAUR		1.0
SERPINE1	rs6092	0.99
SERPINE1		1.0
SERPINE1	rs2227631	0.99
SERPINE1	rs1799889	0.99
PLG	PLAT	0.8626533706911382
PLG		1.0
FGA	TLN1	0.8654590405262035
FGA		1.0
FGA	RAP1B	0.8654590405262035
FGA	RAP1A	0.8654590405262035
ITGB3	rs5918	0.8574563790374032
FGA	ITGB3	0.8661175545832356
FGA	SRC	0.8659427526468915
FGA	VWF	0.8633025591362801
FGA	CSK	0.8497082254156562
FGA	PTK2	0.859961955520961
neuropathy	FGA	1.0	
neuropathy	ITGB3	1.0	
neuropathy	PLAT	1.0	
neuropathy	SERPINE1	1.0	
neuropathy	VWF	1.0	
macrothrombocytopenia	FGA	1.0	
macrothrombocytopenia	ITGB3	1.0	
macrothrombocytopenia	PLAT	1.0	
macrothrombocytopenia	PLG	1.0	
macrothrombocytopenia	SERPINE1	1.0	
macrothrombocytopenia	VWF	1.0	
prehypertension	CSK	1.0	
prehypertension	FGA	1.0	
prehypertension	PLAT	1.0	
prehypertension	PLG	1.0	
prehypertension	PTK2	1.0	
prehypertension	RAP1A	1.0	
prehypertension	RAP1B	1.0	
prehypertension	SERPINE1	1.0	
prehypertension	SRC	1.0	
prehypertension	VWF	1.0	
tonic seizures	FGA	1.0	
tonic seizures	PLAT	1.0	
tonic seizures	SERPINE1	1.0	
tonic seizures	VWF	1.0	
pneumocystis jiroveci pneumonia	ITGB3	1.0	
pneumocystis jiroveci pneumonia	PLAT	1.0	
pneumocystis jiroveci pneumonia	PLG	1.0	
pneumocystis jiroveci pneumonia	PTK2	1.0	
pneumocystis jiroveci pneumonia	SERPINE1	1.0	
pneumocystis jiroveci pneumonia	VWF	1.0	
sepsis	FGA	1.0	
sepsis	ITGB3	1.0	
sepsis	PLAT	1.0	
sepsis	SERPINE1	1.0	
sepsis	VWF	1.0	
phen_knockout_hypertension	FGA	1.0	
phen_knockout_hypertension	PLAT	1.0	
phen_knockout_hypertension	PLG	1.0	
phen_knockout_hypertension	SERPINE1	1.0	
phen_sig_tp_noFP_Dis_hypertension	FGA	1.0	
phen_sig_tp_noFP_Dis_hypertension	PLAT	1.0	
phen_sig_tp_noFP_Dis_hypertension	PLG	1.0	
phen_sig_tp_noFP_Dis_hypertension	SERPINE1	1.0	
phen_sig_knockout_noFP_Sig_thrombocytopenia	ITGB3	1.0	
phen_sig_knockout_noFP_Sig_thrombocytopenia	PLG	1.0	
phen_sig_knockout_noFP_Sig_thrombocytopenia	VWF	1.0	
